tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-marker-id,animal-ring-id,animal-sex,animal-taxon-detail,deploy-on-person,deployment-comments,deployment-id,tag-manufacturer-name,tag-model,tag-serial-no
228165,9*E,Calidris canutus,,,,,,Rufa or rosleaari,,,,,,
228182,9*C,Calidris canutus,,,,,,Rufa or roselaari,,,,,,
232599,9*A,Calidris canutus,,,,,,Rufa or roselaari,,,,,,
201139,J3+,Calidris canutus,2020-05-01 00:00:00.000,,,1332-94773,,rufa or roselaari,DN,"27.302672, -97.340618
",Padre Island National Seashore - TX spring,Lotek Wireless,PinPoint 75,PP01489
201133,J2+,Calidris canutus,2020-05-01 00:00:00.000,,,133294774,,rufa or roselaari,,,Padre Island National Seashore - spring Texas,Lotek Wireless,PinPoint 75,PP01483
201134,J5+,Calidris canutus,2020-05-04 00:00:00.000,,,133294788,,rufa or roselaari,,,Padre Island National Seashore - spring Texas J5+,Lotek Wireless,PinPoint 75,PP01484
201135,J6+,Calidris canutus,2020-05-04 00:00:00.000,,,133294789,,rufa or roselaari,,,Padre Island National Seashore - spring Texas J6+,Lotek Wireless,PinPoint 75,PP01485
201138,U0+,Calidris canutus,2020-09-23 00:00:00.000,,,133294792,,rufa or roselaari,,,,Lotek Wireless,PinPoint 75,PP01488
201149,U1+,Calidris canutus,2020-09-23 00:00:00.000,,,133294793,,rufa or roselaari,,,,Lotek Wireless,PinPoint 75,PP01499
201171,U2+,Calidris canutus,2020-09-23 00:00:00.000,,,133294794,,rufa or roselaari,,,,Lotek Wireless,PinPoint 75,PP01521
201147,U6+,Calidris canutus,2020-09-23 00:00:00.000,,,133294796,,rufa or roselaari,,,,Lotek Wireless,PinPoint 75,PP01497
201154,U7+,Calidris canutus,2020-09-23 00:00:00.000,,,133294797,,rufa or roselaari,,,,Lotek Wireless,PinPoint 75,PP01504
201155,U9+,Calidris canutus,2020-09-23 00:00:00.000,,,133294798,,rufa or roselaari,,,,Lotek Wireless,PinPoint 75,PP01505
201132,8A+,Calidris canutus,2020-10-01 00:00:00.000,,,133294833,,rufa or roselaari,,,,Lotek Wireless,Pinpoint 75,01482
201141,Y0+,Calidris canutus,2020-10-01 00:00:00.000,,,133294817,,rufa or roselaari,,,,Lotek Wireless,Pinpoint 75,01491
201148,X2+,Calidris canutus,2020-10-01 00:00:00.000,,,133294810,,rufa or roselaari,,,,Lotek Wireless,Pinpoint 75,01498
201172,8K+,Calidris canutus,2020-10-01 00:00:00.000,,,133294838,,rufa or roselaari,,,,Lotek Wireless,Pinpoint 75,01522
201173,V8+,Calidris canutus,2020-10-01 00:00:00.000,,,133294806,,rufa or roselaari,,,,Lotek Wireless,Pinpoint 75,01523
201174,V5+,Calidris canutus,2020-10-01 00:00:00.000,,,133294803,,rufa or roselaari,,,,Lotek Wireless,Pinpoint 75,01524
201165,L6+,Calidris canutus,2021-04-26 00:00:00.000,,,133294900,u,Rufa or roselaari,,,,Lotek Wireless,Pinpoint 75,01515
201145,L4+,Calidris canutus,2021-04-26 00:00:00.000,,,133294899,u,Rufa or roselaari,,,,Lotek Wireless,Pinpoint 75,01495
201137,K9+,Calidris canutus,2021-04-26 00:00:00.000,,,133294893,u,Rufa or roselaari,,,,Lotek Wireless,Pinpoint 75,01487
201160,L0+,Calidris canutus,2021-04-26 00:00:00.000,,,133294894,u,Rufa or roselaari,,,,Lotek Wireless,Pinpoint 7,01510
201163,318,Calidris canutus,2021-04-26 00:00:00.000,,,133294690,u,Rufa or roselaari,,,,Lotek Wireless,Pinpoint 75,01513
201159,K6+,Calidris canutus,2021-04-26 00:00:00.000,,,133294890,u,Rufa or roselaari,,,,Lotek Wireless,Pinpoint 75,01509
