no,notes,Rufa_subpop,track_data,movebank_name,move_bank_no. ,Project,LotekSerialNum,Program_number,tag-manufacturer-name,tag-model,tag-mass,repetition_no,duty-cycle,tag-comment,ArgosID,attachment_type,deployment-comment,deploy-on-person,deploy-on-latitude,deploy-on-longitude,,Banding_or_recapture_Date,deploy-on-timestamp,Location,Band Number,animal-marker-id,animal-id,Code,AGE,SEX,deploy-on-measurements,WEIGHT,FIRE TIME,Lapsed minutes,deploy_d,deploy_m,deply_y
0,,,,,,to be split by study,tag-serial-no,Program_number,tag-manufacturer-name,tag-model,tag-mass,tag-beacon-frequency,duty-cycle,tag-comment,tag-id,attachment_type,deployment-comment,deploy-on-person,deploy-on-latitude,deploy-on-longitude,deployment-id,deploy-on-date,deploy-on-timestamp,study-site,animal-ring-id,animal-marker-id,animal-id,Code,animal-life-stage,animal-sex,deploy-on-measurements,animal-mass,capture-timestamp,capture-handling-time,,,
7,,,track,Red Knot Atlantic Shores,1235069252,Atlantic Shores,1591,7165,Lotek,Lotek PinPoint GPS-Argos 75,,,,,204351,,,,,,,22/8/2020,2020/08/22 16:30:00.00,NBRIG  ,1392-24666,,,FELG(Y*J)/-:-/m,ASY,u,,199,16:00,30,,,
2,,,track,Red Knot Atlantic Shores,1235069252,Atlantic Shores,1592,7165,Lotek,Lotek PinPoint GPS-Argos 75,,,,,204352,,,,,,,13/8/2020,2020/08/13 11:42:00.00,NBRIG  ,1392-24660,,,FELG(Y*T)/-:-/m,ASY,u,"'{culmenInMillimeters:36.1,theadInMilimeters:65.4, wingInMillimeters:166}'",211,11:25,17,,,
16,,,failed,Red Knot Atlantic Shores,1235069252,Atlantic Shores,1593,7165,Lotek,Lotek PinPoint GPS-Argos 75,,,,,204353,,,,,,,24/8/2020,2020/08/24 11:40:00.00,NBRIG  ,1392-24688,,,FELG(U*H)/-:-/m,ASY,u,,177,10:50,50,,,
26,,,failed,Red Knot Atlantic Shores,1235069252,Atlantic Shores,1594,7165,Lotek,Lotek PinPoint GPS-Argos 75,,,,,204354,,,,,,,24/8/2020,2020/08/24 11:58:00.00,NBRIG  ,1332-64665,,,FELG(T*P)/-:-/m,ASY,u,,161,10:50,68,,,
18,,,failed,Red Knot Atlantic Shores,1235069252,Atlantic Shores,1595,7165,Lotek,Lotek PinPoint GPS-Argos 75,,,,,204355,,,,,,,24/8/2020,2020/08/24 11:43:00.00,NBRIG  ,1392-24690,,,FELG(U*C)/-:-/m,ASY,u,,181,10:50,53,,,
21,,,failed,Red Knot Atlantic Shores,1235069252,Atlantic Shores,1596,7165,Lotek,Lotek PinPoint GPS-Argos 75,,,,,204356,,,,,,,24/8/2020,2020/08/24 11:47:00.00,NBRIG  ,1392-24693,,,FELG(T*X)/-:-/m,ASY,u,,158,10:50,57,,,
5,,,track,Red Knot Atlantic Shores,1235069252,Atlantic Shores,1597,7165,Lotek,Lotek PinPoint GPS-Argos 75,,,,,204357,,,,,,,13/8/2020,2020/08/13 12:01:00.00,NBRIG  ,1392-24664,,,FELG(Y*L)/-:-/m,ASY,u,"'{culmenInMillimeters:33.6,theadInMilimeters:64.1, wingInMillimeters:172}'",182,11:25,36,,,
25,,,failed,Red Knot Atlantic Shores,1235069252,Atlantic Shores,1598,7165,Lotek,Lotek PinPoint GPS-Argos 75,,,,,204358,,,,,,,24/8/2020,2020/08/24 12:01:00.00,NBRIG  ,1392-24698,,,FELG(T*M)/-:-/m,ASY,u,,159,10:50,71,,,
8,,,track,Red Knot Atlantic Shores,1235069252,Atlantic Shores,1599,7165,Lotek,Lotek PinPoint GPS-Argos 75,,,,,204359,,,,,,,22/8/2020,2020/08/22 16:34:00.00,NBRIG  ,1392-24667,,,FELG(Y*H)/-:-/m,ASY,u,,166,16:00,34,,,
15,,,failed,Red Knot Atlantic Shores,1235069252,Atlantic Shores,1600,7165,Lotek,Lotek PinPoint GPS-Argos 75,,,,,204360,,,,,,,24/8/2020,2020/08/24 11:34:00.00,NBRIG  ,1392-24686,,,FELG(U*N)/-:-/m,ASY,u,,159,10:50,44,,,
1,,,track,Red Knot Atlantic Shores,1235069252,Atlantic Shores,1601,7165,Lotek,Lotek PinPoint GPS-Argos 75,,,,,204361,,,,,,,13/8/2020,2020/08/13 11:40:00.00,NBRIG  ,1392-24659,,,FELG(Y*U)/-:-/m,ASY,u,"'{culmenInMillimeters:37.1,theadInMilimeters:67.2, wingInMillimeters:179}'",186,11:25,15,,,
3,,,track,Red Knot Atlantic Shores,1235069252,Atlantic Shores,1602,7165,Lotek,Lotek PinPoint GPS-Argos 75,,,,,204362,,,,,,,13/8/2020,2020/08/13 11:52:00.00,NBRIG  ,1392-24661,,,FELG(Y*P)/-:-/m,ASY,u,"'{culmenInMillimeters:34,theadInMilimeters:65.3, wingInMillimeters:168}'",184,11:25,27,,,
17,,,failed,Red Knot Atlantic Shores,1235069252,Atlantic Shores,1603,7165,Lotek,Lotek PinPoint GPS-Argos 75,,,,,204363,,,,,,,24/8/2020,2020/08/24 11:41:00.00,NBRIG  ,1392-24689,,,FELG(U*E)/-:-/m,ASY,u,,195,10:50,51,,,
